ID,title,author_ID,genre_code,publishedAt,pages,price,currency_code,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
7f2b1c30-2222-4b2c-9d3e-200000000001,Harry Potter and the Sorcerer's Stone,3c9e6a10-1111-4a1b-8c2d-100000000001,Fantasy,1997-06-26,309,19.99,GBP,45,A,2024-01-15T10:00:00Z,admin,2024-01-15T10:00:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000002,A Game of Thrones,3c9e6a10-1111-4a1b-8c2d-100000000002,Fantasy,1996-08-01,694,24.99,USD,30,A,2024-01-16T09:15:00Z,admin,2024-01-16T09:15:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000003,Murder on the Orient Express,3c9e6a10-1111-4a1b-8c2d-100000000003,Mystery,1934-01-01,256,14.99,GBP,5,L,2024-01-17T11:30:00Z,admin,2024-01-17T11:30:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000004,The Shining,3c9e6a10-1111-4a1b-8c2d-100000000004,Horror,1977-01-28,447,18.50,USD,0,U,2024-01-18T14:20:00Z,admin,2024-01-18T14:20:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000005,Pride and Prejudice,3c9e6a10-1111-4a1b-8c2d-100000000005,Romance,1813-01-28,279,9.99,GBP,60,A,2024-01-19T08:45:00Z,admin,2024-01-19T08:45:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000006,The Adventures of Huckleberry Finn,3c9e6a10-1111-4a1b-8c2d-100000000006,Fiction,1884-12-10,366,12.99,USD,3,L,2024-01-20T13:00:00Z,admin,2024-01-20T13:00:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000007,The Old Man and the Sea,3c9e6a10-1111-4a1b-8c2d-100000000007,Fiction,1952-09-01,127,10.99,USD,25,A,2024-01-21T16:10:00Z,admin,2024-01-21T16:10:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000008,War and Peace,3c9e6a10-1111-4a1b-8c2d-100000000008,Historical Fiction,1869-01-01,1225,29.99,EUR,0,U,2024-01-22T10:50:00Z,admin,2024-01-22T10:50:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000009,Mrs Dalloway,3c9e6a10-1111-4a1b-8c2d-100000000009,Fiction,1925-05-14,194,11.99,GBP,8,L,2024-01-23T12:25:00Z,admin,2024-01-23T12:25:00Z,admin
7f2b1c30-2222-4b2c-9d3e-200000000010,The Great Gatsby,3c9e6a10-1111-4a1b-8c2d-100000000010,Fiction,1925-04-10,180,13.99,USD,50,A,2024-01-24T09:05:00Z,admin,2024-01-24T09:05:00Z,admin
